"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 23 15:53:07 MSK 2021","Wed Jun 23 15:53:13 MSK 2021","6409","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer6]",""
"passed","Wed Jun 23 15:50:12 MSK 2021","Wed Jun 23 15:50:15 MSK 2021","2311","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Wed Jun 23 15:54:07 MSK 2021","Wed Jun 23 15:54:12 MSK 2021","4388","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer9]",""
"passed","Wed Jun 23 15:51:09 MSK 2021","Wed Jun 23 15:51:21 MSK 2021","11969","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"skipped","Wed Jun 23 15:53:26 MSK 2021","Wed Jun 23 15:53:30 MSK 2021","3746","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer7]",""
"skipped","Wed Jun 23 15:50:22 MSK 2021","Wed Jun 23 15:50:25 MSK 2021","2795","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Wed Jun 23 15:54:15 MSK 2021","Wed Jun 23 15:54:16 MSK 2021","1664","","test_screenshots","","","","test_item_page_has_add_basket_button",""
"passed","Wed Jun 23 15:52:21 MSK 2021","Wed Jun 23 15:52:27 MSK 2021","5367","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer3]",""
"passed","Wed Jun 23 15:51:32 MSK 2021","Wed Jun 23 15:51:35 MSK 2021","3380","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[newYear2019]",""
"passed","Wed Jun 23 15:50:38 MSK 2021","Wed Jun 23 15:50:39 MSK 2021","1693","","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Wed Jun 23 15:52:09 MSK 2021","Wed Jun 23 15:52:12 MSK 2021","3260","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer2]",""
"passed","Wed Jun 23 15:52:38 MSK 2021","Wed Jun 23 15:52:41 MSK 2021","3056","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer4]",""
"passed","Wed Jun 23 15:52:50 MSK 2021","Wed Jun 23 15:52:56 MSK 2021","5450","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer5]",""
"skipped","Wed Jun 23 15:50:28 MSK 2021","Wed Jun 23 15:50:35 MSK 2021","6633","","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Wed Jun 23 15:51:57 MSK 2021","Wed Jun 23 15:52:00 MSK 2021","2949","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer1]",""
"passed","Wed Jun 23 15:50:17 MSK 2021","Wed Jun 23 15:50:19 MSK 2021","2050","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Wed Jun 23 15:51:45 MSK 2021","Wed Jun 23 15:51:48 MSK 2021","3182","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer0]",""
"passed","Wed Jun 23 15:50:42 MSK 2021","Wed Jun 23 15:50:44 MSK 2021","2149","","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Wed Jun 23 15:49:57 MSK 2021","Wed Jun 23 15:50:09 MSK 2021","12727","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Wed Jun 23 15:53:47 MSK 2021","Wed Jun 23 15:53:55 MSK 2021","8811","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket[offer8]",""
"passed","Wed Jun 23 15:50:47 MSK 2021","Wed Jun 23 15:51:00 MSK 2021","12513","","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
